#{"t_start": 1775959170.776017, "env_id": "None"}
r,l,t
-81.070725,480,94.622921
-54.567765,480,94.69435
-107.218062,480,94.767857
-56.889112,480,95.079101
-78.736949,480,95.15234
-48.447513,480,95.222237
-35.590316,480,95.293742
-35.421376,480,95.597616
-59.573338,480,95.670173
-73.097695,480,95.741202
-57.026791,480,95.814258
-38.082986,480,96.120241
-68.024455,480,96.19329
-65.776052,480,96.264063
-59.985649,480,96.340102
-43.340958,480,96.411693
-41.495051,480,96.719138
-82.737749,480,96.791001
-46.328919,480,96.86418
-44.536758,480,96.937229
-84.255317,480,97.246634
-101.478168,480,97.318394
-50.985994,480,97.389665
-80.965062,480,97.461478
-87.710556,480,97.764856
-67.72846,480,97.835495
-82.079692,480,97.908571
-47.497488,480,97.980932
-79.294404,480,98.305389
-46.47833,480,98.376941
-35.889328,480,98.448922
-70.1965,480,98.520383
-51.62561,480,98.592593
-71.488313,480,98.89714
-91.987222,480,98.96976
-52.593161,480,99.041971
-51.261045,480,99.113184
-75.96509,480,99.417847
-72.412548,480,99.490451
-45.963603,480,99.562777
-40.47463,480,99.634044
-50.775479,480,99.936624
-38.135716,480,100.009743
-104.553494,480,100.099788
-53.288352,480,100.191969
-49.659588,480,100.262976
-39.760373,480,100.576846
-59.803888,480,100.652592
-97.16932,480,100.725079
-46.697286,480,100.797165
-55.776145,480,101.108897
-46.953889,480,101.182395
-50.725942,480,101.25372
-52.114481,480,101.324181
-40.329142,480,101.62758
-51.090618,480,101.702126
-98.434169,480,101.774405
-85.585837,480,101.845078
-40.924901,480,102.152044
-40.357694,480,102.224398
-46.305525,480,102.295987
-58.057435,480,102.366045
-48.302794,480,102.438603
-54.879373,480,102.74496
-41.072128,480,102.81692
-92.991852,480,102.888053
-45.567714,480,102.960236
-90.789667,480,103.270298
-39.357371,480,103.34307
-76.796861,480,103.415544
-80.376724,480,103.488822
-62.151133,480,103.79358
-48.237493,480,103.864403
-60.0791,480,103.937608
-62.54116,480,104.013708
-48.818959,480,104.335893
-66.375069,480,104.410154
-46.080975,480,104.491847
-108.366567,480,104.567582
-94.772286,480,104.644181
-46.066095,480,104.949737
-44.587457,480,105.020707
-73.61682,480,105.092478
-61.330698,480,105.164216
-78.925143,480,105.468288
-78.415408,480,105.539067
-36.050021,480,105.611309
-51.449894,480,105.68285
-59.610965,480,105.987471
-104.693715,480,106.05773
-50.979589,480,106.130078
-57.316782,480,106.20195
-42.705241,480,106.503759
-61.730005,480,106.577063
-70.463023,480,106.655368
-62.911061,480,106.728076
-59.145409,480,106.799389
-61.68955,480,107.105268
-79.516203,480,107.177074
-62.060462,480,107.248241
-98.49361,480,107.319773
-45.31674,480,107.62359
-56.719697,480,107.696506
-28.803413,480,107.767907
-49.75826,480,107.840325
-46.892361,480,108.148273
-56.356172,480,108.220145
-38.617254,480,108.290646
-90.782202,480,108.362035
-32.819822,480,108.432919
-57.917236,480,108.738593
-60.861279,480,108.808589
-72.331916,480,108.88271
-53.319641,480,108.981491
-44.647968,480,109.288058
-46.729851,480,109.361571
-36.725402,480,109.432982
-74.469913,480,109.505193
-64.682112,480,109.813656
-48.672009,480,109.883755
-59.848141,480,109.956495
-59.967304,480,110.030649
-40.948824,480,110.384301
-41.725346,480,110.462709
-60.3722,480,110.537828
-48.189198,480,110.610353
-39.677214,480,110.683687
-45.619303,480,111.010161
-31.612397,480,111.082781
-36.724983,480,111.154167
-48.388548,480,111.227768
-37.338673,480,111.54902
-36.215189,480,111.629828
-60.619818,480,111.705207
-118.718232,480,111.777707
-70.14112,480,112.093345
-39.211369,480,112.167489
-42.391799,480,112.239876
-78.266371,480,112.310375
-61.423264,480,112.616078
-61.057181,480,112.689002
-34.649293,480,112.761891
-45.707717,480,113.209682
-42.313637,480,113.428561
-62.598777,480,113.912065
-67.129447,480,113.997467
-56.840487,480,114.108949
-41.957293,480,114.217831
-175.506801,480,114.707578
-101.436158,480,114.785597
-47.235503,480,114.877512
-43.540148,480,115.016247
-55.62576,480,115.605597
-64.12578,480,115.726828
-39.186578,480,115.820179
-56.186368,480,115.896385
-47.152029,480,116.22142
-53.632865,480,116.30342
-53.28871,480,116.378535
-62.762969,480,116.451814
-48.884532,480,116.52646
-37.311044,480,116.899832
-41.132214,480,116.980221
-80.001193,480,117.052777
-66.125106,480,117.127667
-33.764673,480,117.467758
-48.017073,480,117.541215
-50.141813,480,117.613439
-36.122437,480,117.684621
-71.251663,480,118.057558
-47.025879,480,118.132601
-62.857545,480,118.207324
-42.830144,480,118.281709
-42.73648,480,118.356265
-58.136585,480,118.66296
-74.026358,480,118.73579
-45.029515,480,118.809112
-42.487198,480,118.881059
-60.460317,480,119.186812
-42.50982,480,119.257576
-69.24772,480,119.330416
-80.122397,480,119.402118
-35.968692,480,119.707383
-62.445126,480,119.780166
-40.611218,480,119.852121
-39.098576,480,119.923984
-59.026305,480,120.256415
-70.819458,480,120.327911
-41.038356,480,120.400606
-57.83129,480,120.472665
-49.304751,480,120.544795
-45.468117,480,120.859414
-57.05005,480,120.933585
-46.760096,480,121.008642
-57.39855,480,121.080339
-47.559551,480,121.384841
-51.37373,480,121.457339
-64.084169,480,121.529401
-41.139947,480,121.603833
-28.678234,480,121.913415
-47.358587,480,121.986864
-56.086171,480,122.058263
-52.436452,480,122.128779
-31.691221,480,122.432839
-59.229836,480,122.50489
-51.399625,480,122.576242
-70.28425,480,122.646214
-33.821781,480,122.718533
-40.317458,480,123.025788
-59.955309,480,123.098544
-48.869065,480,123.170084
-40.006596,480,123.242912
-82.584749,480,123.547151
-67.711121,480,123.620321
-37.016013,480,123.692874
-46.089501,480,123.772503
-89.83386,480,124.078902
-43.045753,480,124.151658
-68.412431,480,124.223335
