#{"t_start": 1775959733.6788962, "env_id": "None"}
r,l,t
-12317.703639,74,14.410939
-9978.580097,82,14.426602
-6690.292281,64,14.438685
-6252.583964,56,14.449379
-8460.216679,70,14.468348
-10375.492208,85,14.487492
-6163.662486,42,14.495859
-6054.581675,69,14.510297
-7837.421581,64,14.522538
-10892.798787,90,14.54005
-10707.943818,87,14.556699
-10011.274856,70,14.570036
-7819.528009,71,14.583654
-11661.954046,86,14.60002
-10194.267545,87,14.61786
-10911.787207,85,14.634249
-12221.197428,84,14.65041
-5622.968819,52,14.660482
-5230.525363,45,14.669577
-13143.792996,93,14.687624
-5935.034169,39,14.695187
-11648.46603,88,14.713353
-10675.846441,94,14.731726
-6999.877847,67,14.744717
-8859.259255,69,14.758027
-6793.183128,60,14.769661
-9052.038594,67,14.782454
-8077.416074,68,14.795364
-6582.866076,52,14.806118
-7547.456546,66,14.819898
-9096.229287,75,14.834328
-8185.894051,64,14.846453
-6009.384236,50,14.855883
-7854.210686,74,14.870053
-8788.236357,79,15.311752
-7577.761889,62,15.323753
-11494.911804,83,15.339697
-10306.649481,87,15.35769
-11508.124702,82,15.373226
-6763.57249,57,15.383884
-6068.842562,37,15.39081
-9240.275761,87,15.407299
-12863.243092,96,15.425345
-12096.631798,92,15.442523
-8959.15684,77,15.458291
-8095.63538,67,15.471298
-9431.383198,78,15.486206
-8865.104136,72,15.49977
-11242.901577,79,15.514932
-10257.507328,80,15.530211
-7337.557058,61,15.541877
-13616.304705,92,15.56043
-8271.150688,72,15.574219
-10044.304674,71,15.58756
-11465.390698,90,15.604794
-8809.155461,72,15.618487
-10227.927644,73,15.632229
-10263.744458,83,15.64779
-4466.53044,39,15.65513
-9111.343023,78,15.67101
-6412.154278,55,15.681445
-9306.828145,68,15.694114
-5981.743515,54,15.704228
-11483.504772,92,15.721741
-5440.657973,48,15.731101
-5819.393206,55,15.741675
-5798.205636,49,15.751067
-8210.148863,66,15.76448
-13695.051229,93,15.782221
-9179.904047,75,15.796324
-8923.134533,74,15.811698
-8970.20623,75,15.826619
-9344.380922,77,15.841482
-9049.295124,76,15.856325
-11895.792486,85,15.873755
-5684.308142,52,15.884202
-8476.977658,60,15.895536
-7738.485147,73,15.909338
-6361.270679,52,15.919294
-9314.000348,91,15.936867
-8223.96541,74,15.951078
-9951.512928,76,15.965595
-11028.097959,84,15.982609
-6201.817875,57,15.993549
-8788.973,70,16.006913
-6814.156114,69,16.019975
-9547.887905,70,16.03323
-6504.46534,53,16.043141
-7920.540448,62,16.054888
-9801.42153,74,16.06907
-10082.556158,71,16.083496
-8001.302531,64,16.543328
-11339.569772,93,16.561684
-7579.99337,63,16.574527
-9487.965149,70,16.589913
-10026.92605,92,16.608944
-12763.81557,99,16.62856
-9954.542771,83,16.644398
-10063.545361,80,16.65995
-6538.406158,54,16.670231
-10841.331301,81,16.686035
-11231.01428,86,16.702333
-8191.347216,66,16.715874
-5575.288074,55,16.726581
-6327.854883,60,16.738032
-10197.410127,87,16.75485
-12505.673859,86,16.771356
-7864.386744,66,16.783863
-7433.803503,61,16.79559
-10158.129257,84,16.811374
-6599.773112,48,16.821627
-8187.84845,67,16.835128
-6382.620416,65,16.847682
-5800.922404,50,16.857279
-9112.53338,72,16.871264
-9149.370322,71,16.884898
-7153.335238,54,16.89617
-10050.138365,74,16.910676
-8246.024571,72,16.926582
-6269.989692,55,16.937581
-9474.642679,70,16.950879
-7343.363291,68,16.96378
-10062.175188,87,16.980329
-5006.65071,49,16.989641
-11311.45782,90,17.006975
-8383.606995,76,17.021518
