#{"t_start": 1775967785.2824872, "env_id": "None"}
r,l,t
-71.649071,73,9.440952
-48.623425,40,9.448156
-48.707962,62,9.458579
-25.770407,26,9.46304
-28.349395,35,9.46899
-29.663467,26,9.473393
-65.679025,74,9.485706
-47.510934,54,9.494783
-55.00154,69,9.506379
-37.516764,45,9.514001
-36.221994,47,9.521787
-47.289566,49,9.529841
-23.006613,21,9.533524
-38.957855,45,9.540851
-29.353367,28,9.546403
-33.632943,56,9.556996
-35.522734,28,9.561864
-51.24981,55,9.571645
-32.201705,32,9.577164
-56.595857,55,9.58776
-27.803149,38,9.594088
-64.771414,68,9.60624
-27.426165,36,9.612381
-62.889933,48,9.620623
-23.518912,21,9.624178
-51.028405,68,9.635434
-56.931639,59,9.644833
-44.794974,62,9.656038
-38.621793,60,9.666552
-49.516486,58,9.675872
-87.237475,96,9.691528
-25.642408,21,9.695044
-75.454802,51,9.703289
-39.928118,47,9.710784
-115.757021,94,9.726313
-32.091153,27,9.730815
-40.867246,57,9.74012
-24.953606,30,9.744962
-30.095642,29,9.749686
-41.258419,59,9.760363
-29.099146,53,9.769386
-48.021882,83,9.783286
-43.609603,63,9.793374
-49.813846,57,9.8027
-50.211983,62,9.812971
-52.138053,95,9.828537
-51.323725,60,9.838351
-73.145996,64,9.848797
-60.315463,39,9.854994
-46.623745,56,9.864888
-45.342601,68,9.876064
-63.500951,67,9.887004
-28.488678,26,9.891241
-63.445799,59,9.900753
-29.401904,35,9.906446
-93.714239,106,9.923359
-73.832633,90,9.937833
-52.763094,58,9.947074
-47.069207,81,9.959972
-41.539446,73,9.972973
-23.357299,27,9.977419
-100.025573,118,9.997069
-98.773213,87,10.011382
-37.554462,38,10.017732
-51.915226,67,10.028846
-66.739032,73,10.040815
-59.577253,71,10.052426
-70.760487,54,10.061337
-34.225524,47,10.069143
-95.134589,84,10.083979
-45.527327,42,10.360945
-38.741131,48,10.369145
-54.778968,35,10.374948
-23.61306,29,10.379697
-106.270809,118,10.400385
-36.220114,42,10.407207
-29.195841,26,10.411467
-34.286806,40,10.417963
-37.220028,26,10.422169
-71.431385,52,10.430611
-31.721239,33,10.43609
-30.827362,34,10.441634
-121.768069,96,10.457588
-22.514262,25,10.461784
-35.71897,49,10.469931
-34.5452,58,10.479495
-57.006951,65,10.490911
-47.671859,72,10.502925
-39.440722,36,10.508852
-27.296148,32,10.514096
-48.597751,50,10.522345
-48.538738,55,10.531491
-27.79501,40,10.537983
-53.590179,70,10.55002
-34.830339,37,10.556349
-25.425931,23,10.560874
-32.655735,39,10.567726
-41.156527,46,10.575866
-68.069067,49,10.585461
-72.9105,46,10.593155
-111.870906,106,10.612682
-27.493813,32,10.618448
-55.162469,77,10.631647
-55.857097,58,10.641056
-51.966531,41,10.647775
-41.561297,74,10.660288
-37.08488,71,10.671913
-28.109415,34,10.677377
-142.453394,89,10.69157
-38.487323,43,10.699364
-61.067927,47,10.707384
-37.483837,27,10.711919
-21.254324,32,10.717339
-118.308953,100,10.733563
-39.601631,49,10.741563
-24.868655,33,10.747033
-55.469264,75,10.759119
-29.164617,25,10.763228
-36.945446,32,10.7684
-65.267936,66,10.778984
-43.131441,55,10.787912
-27.086122,22,10.7916
-42.375753,49,10.800669
-46.964559,45,10.808405
-23.787715,36,10.814763
-98.13932,81,10.827939
-32.648172,44,10.835125
-49.240148,46,10.842616
-29.324552,51,10.850974
-55.175406,49,10.858909
-41.899771,61,10.868666
-21.533322,42,10.875473
-60.679249,90,10.889763
-60.902256,63,10.899976
-33.016116,32,10.905979
-34.669691,31,10.911201
-51.582954,54,10.92033
-31.989248,37,10.926358
-145.902609,114,10.944766
-62.909897,58,10.95425
-43.190332,82,10.967583
-50.376967,50,10.975735
-52.323599,45,10.983014
-25.814032,22,10.986672
-116.109996,106,11.003712
-47.846728,56,11.013617
-36.623387,42,11.02092
-71.827052,93,11.036267
-31.989557,35,11.311021
-86.589512,65,11.322008
-70.69742,67,11.33402
-75.78397,61,11.344073
-46.312048,87,11.35819
-43.447876,52,11.366639
-36.220345,44,11.37375
-100.257336,95,11.388988
-24.244275,29,11.393707
-29.25076,24,11.397743
-21.197506,27,11.402176
-67.070059,71,11.41357
-36.692964,36,11.419365
-28.445177,31,11.424326
-43.93341,67,11.436541
-85.831393,90,11.451157
-48.461428,39,11.457701
-45.296804,58,11.467073
-92.395868,101,11.483123
-38.307407,42,11.489845
-48.295291,67,11.50041
-36.911892,51,11.508638
-71.805011,48,11.516277
-38.171338,32,11.521341
-23.365268,28,11.525824
-25.920577,23,11.529535
-44.68419,57,11.540021
-57.701619,63,11.551188
-35.713107,60,11.561303
-43.714879,45,11.568937
-58.96377,51,11.577695
-43.09906,42,11.585849
-38.941051,52,11.59482
-38.232823,55,11.604262
-130.691718,107,11.622042
-108.692179,86,11.637016
-85.46649,79,11.650271
-28.030774,34,11.655928
-25.024023,23,11.659767
-76.090188,74,11.672147
-80.566921,66,11.68328
-67.953114,75,11.695829
-27.16285,39,11.702251
-40.491107,42,11.709207
-74.158046,88,11.724391
-62.859143,77,11.737144
-53.407877,67,11.749403
-24.491061,19,11.752565
-101.145519,90,11.767574
-108.105242,83,11.781064
-60.393932,45,11.788604
-31.519961,30,11.793609
-27.656841,33,11.799058
-40.038215,26,11.803595
-27.447253,25,11.807697
-48.837014,90,11.821991
-42.96559,48,11.829641
-36.171679,37,11.835595
-92.797593,111,11.854042
-29.33125,33,11.859567
-27.807042,46,11.867263
-42.211436,41,11.873932
-75.09497,71,11.885653
-34.309426,39,11.892187
-70.497679,69,11.903595
-104.602799,100,11.920002
-20.454532,24,11.923994
-39.76062,50,11.93226
-144.294542,108,11.949914
-60.545684,71,11.962491
-49.08685,46,11.970474
-56.695285,77,11.982871
-37.187536,40,11.989343
-57.579933,65,12.262963
-32.105046,47,12.271876
-90.866632,77,12.284857
-48.987514,49,12.292697
-55.924742,72,12.304153
-30.537039,44,12.311227
-23.07168,25,12.315332
-78.092443,81,12.328139
-85.644911,58,12.337664
-39.614576,54,12.34651
-39.646858,46,12.354061
-27.087351,25,12.358216
-29.710622,41,12.365065
-30.328533,38,12.371344
-67.369125,88,12.387421
-35.421916,31,12.39294
-32.463669,27,12.397712
-30.056506,41,12.404924
-68.163131,75,12.417691
-52.831967,67,12.428553
-67.838144,76,12.440817
-44.578301,72,12.452403
-27.522318,43,12.459347
-61.814553,61,12.469169
-40.26062,83,12.483452
-33.260635,41,12.490339
-33.81297,45,12.497795
-30.950825,37,12.504088
-34.181288,32,12.509508
-34.164152,36,12.515609
-49.619491,65,12.526524
-34.589651,45,12.534074
-35.777563,44,12.541479
-49.924637,51,12.550147
-77.217907,93,12.56618
-45.563684,67,12.577437
-51.980162,63,12.590864
-95.870721,92,12.606713
-42.851935,64,12.617544
-27.288121,36,12.623716
-58.209679,47,12.631711
-55.02451,68,12.643001
-28.333693,39,12.649761
-34.993368,31,12.655153
-53.585418,52,12.663647
-38.287807,30,12.66871
-34.436233,58,12.678067
-40.420385,49,12.686023
-33.048014,31,12.691098
-29.155759,35,12.69764
-28.661008,31,12.70291
-34.269896,26,12.707153
-36.6772,33,12.712555
-37.19785,32,12.717994
-32.762302,41,12.724727
-42.623299,60,12.734812
-26.240622,32,12.740019
-66.411129,51,12.748274
-47.433893,84,12.76173
-54.955518,73,12.773382
-41.907188,60,12.78323
-65.792766,76,12.79573
-75.423621,71,12.808596
-96.465377,85,12.823577
-29.263257,34,12.829241
-64.661738,81,12.842759
-32.864039,41,12.849815
-29.039182,44,12.857127
-36.962857,35,12.862818
-27.223889,34,12.868685
-83.514811,64,12.879632
-105.217136,103,12.896299
-62.315613,62,12.90715
-76.945348,107,12.924894
-56.62447,58,12.934364
-41.739911,36,12.94026
-63.344731,65,13.216437
-32.500336,38,13.223744
-30.071028,35,13.229917
